Filename                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Chap03/InsertionSortSt.rs                          17                 0   100.00%           1                 0   100.00%          10                 0   100.00%           0                 0         -
Chap05/MappingStEph.rs                             73                16    78.08%          13                 4    69.23%          34                 8    76.47%           0                 0         -
Chap05/RelationStEph.rs                            61                13    78.69%          11                 3    72.73%          32                 3    90.62%           0                 0         -
Chap05/SetStEph.rs                                275               111    59.64%          26                11    57.69%         155                63    59.35%           0                 0         -
Chap06/DirGraphMtEph.rs                           435               257    40.92%          35                18    48.57%         212               138    34.91%           0                 0         -
Chap06/DirGraphStEph.rs                           153                18    88.24%          20                 3    85.00%          67                 8    88.06%           0                 0         -
Chap06/LabDirGraphMtEph.rs                        216               108    50.00%          19                 8    57.89%         126                66    47.62%           0                 0         -
Chap06/LabDirGraphStEph.rs                        100                 0   100.00%          13                 0   100.00%          62                 0   100.00%           0                 0         -
Chap06/LabUnDirGraphMtEph.rs                      200                63    68.50%          22                 4    81.82%         108                37    65.74%           0                 0         -
Chap06/LabUnDirGraphStEph.rs                      131                 5    96.18%          19                 1    94.74%          70                 3    95.71%           0                 0         -
Chap06/UnDirGraphMtEph.rs                         255                46    81.96%          28                 3    89.29%         115                27    76.52%           0                 0         -
Chap06/UnDirGraphStEph.rs                         132                 0   100.00%          22                 0   100.00%          50                 0   100.00%           0                 0         -
Chap06/WeightedDirGraphMtEphFloat.rs              204               115    43.63%          15                 7    53.33%         112                63    43.75%           0                 0         -
Chap06/WeightedDirGraphMtEphInt.rs                201               114    43.28%          14                 7    50.00%          96                55    42.71%           0                 0         -
Chap06/WeightedDirGraphStEphFloat.rs              168                 0   100.00%          17                 0   100.00%          90                 0   100.00%           0                 0         -
Chap06/WeightedDirGraphStEphInt.rs                115                 0   100.00%          10                 0   100.00%          54                 0   100.00%           0                 0         -
Chap06/WeightedUnDirGraphMtEphFloat.rs            153                68    55.56%          12                 3    75.00%          81                37    54.32%           0                 0         -
Chap06/WeightedUnDirGraphMtEphInt.rs              150                68    54.67%          11                 3    72.73%          68                34    50.00%           0                 0         -
Chap06/WeightedUnDirGraphStEphFloat.rs            142                 1    99.30%          14                 0   100.00%          76                 1    98.68%           0                 0         -
Chap06/WeightedUnDirGraphStEphInt.rs              117                 1    99.15%           9                 0   100.00%          52                 1    98.08%           0                 0         -
Chap11/FibonacciMt.rs                              12                 0   100.00%           3                 0   100.00%           8                 0   100.00%           0                 0         -
Chap12/Exercise12_1.rs                             75                11    85.33%          10                 3    70.00%          43                 3    93.02%           0                 0         -
Chap12/Exercise12_2.rs                             27                 0   100.00%           3                 0   100.00%          11                 0   100.00%           0                 0         -
Chap12/Exercise12_5.rs                             87                 3    96.55%           8                 0   100.00%          58                 5    91.38%           0                 0         -
Chap17/MathSeq.rs                                 200                22    89.00%          28                 6    78.57%          93                10    89.25%           0                 0         -
Chap18/ArraySeq.rs                                430               104    75.81%          45                13    71.11%         186                38    79.57%           0                 0         -
Chap18/ArraySeqMtEph.rs                           467                25    94.65%          38                 4    89.47%         218                10    95.41%           0                 0         -
Chap18/ArraySeqMtPer.rs                           509                22    95.68%          41                 3    92.68%         230                 8    96.52%           0                 0         -
Chap18/ArraySeqStEph.rs                           376                32    91.49%          38                 6    84.21%         160                10    93.75%           0                 0         -
Chap18/ArraySeqStPer.rs                           409                16    96.09%          33                 2    93.94%         165                 3    98.18%           0                 0         -
Chap18/LinkedListStEph.rs                         512                37    92.77%          36                 5    86.11%         270                13    95.19%           0                 0         -
Chap18/LinkedListStPer.rs                         516                48    90.70%          35                 8    77.14%         267                22    91.76%           0                 0         -
Chap19/ArraySeqMtEph.rs                           339                10    97.05%          25                 0   100.00%         165                 9    94.55%           0                 0         -
Chap19/ArraySeqMtEphSlice.rs                      538                29    94.61%          43                 2    95.35%         261                16    93.87%           0                 0         -
Chap19/ArraySeqMtPer.rs                           329                33    89.97%          32                 2    93.75%         169                20    88.17%           0                 0         -
Chap19/ArraySeqStEph.rs                           254                 4    98.43%          26                 0   100.00%         128                 3    97.66%           0                 0         -
Chap19/ArraySeqStPer.rs                           211                 8    96.21%          28                 1    96.43%         110                 4    96.36%           0                 0         -
Chap21/Algorithm21_1.rs                            18                 2    88.89%           3                 0   100.00%          13                 1    92.31%           0                 0         -
