MODULE | HAS_TRAIT | BLANKET_IMPL | INHERENT_IMPL
-------|-----------|--------------|---------------
Chap03/InsertionSortSt                   | YES       | YES          | NO
Chap11/FibonacciMt                       | YES       | NO           | NO
Chap12/Exercise12_2                      | YES       | NO           | NO
Chap21/Algorithm21_1                     | YES       | NO           | NO
Chap21/Algorithm21_2                     | YES       | NO           | NO
Chap21/Algorithm21_5                     | YES       | NO           | NO
Chap21/Algorithm21_6                     | YES       | NO           | NO
Chap21/Exercise21_5                      | YES       | NO           | NO
Chap21/Exercise21_6                      | NO        | NO           | NO
Chap21/Exercise21_7                      | YES       | NO           | NO
Chap21/Exercise21_8                      | YES       | NO           | NO
Chap21/Exercise21_9                      | NO        | NO           | NO
Chap21/Problem21_1                       | YES       | NO           | NO
Chap21/Problem21_3                       | YES       | NO           | NO
Chap21/Problem21_4                       | YES       | NO           | NO
Chap26/DivConReduceMt                    | YES       | NO           | NO
Chap26/DivConReduceSt                    | YES       | NO           | NO
Chap26/MergeSortMt                       | YES       | NO           | NO
Chap26/MergeSortSt                       | YES       | NO           | NO
Chap27/ReduceContractMtEph               | YES       | NO           | NO
Chap27/ReduceContractStEph               | YES       | NO           | NO
Chap27/ScanContractMtEph                 | YES       | NO           | NO
Chap27/ScanContractStEph                 | YES       | NO           | NO
Chap28/MaxContigSubSumBruteStEph         | YES       | NO           | NO
Chap28/MaxContigSubSumDivConMtEph        | YES       | NO           | NO
Chap28/MaxContigSubSumDivConOptMtEph     | YES       | NO           | NO
Chap28/MaxContigSubSumDivConOptStEph     | YES       | NO           | NO
Chap28/MaxContigSubSumDivConStEph        | YES       | NO           | NO
Chap28/MaxContigSubSumOptMtEph           | YES       | NO           | NO
Chap28/MaxContigSubSumOptStEph           | YES       | NO           | NO
Chap28/MaxContigSubSumReducedStEph       | YES       | NO           | NO
Chap35/OrderStatSelectMtEph              | YES       | NO           | NO
Chap35/OrderStatSelectMtPer              | YES       | NO           | NO
Chap35/OrderStatSelectStEph              | YES       | NO           | NO
Chap35/OrderStatSelectStPer              | YES       | NO           | NO
Chap36/QuickSortMt                       | YES       | NO           | NO
Chap36/QuickSortMtSlice                  | YES       | NO           | NO
Chap36/QuickSortSt                       | YES       | NO           | NO
Chap41/Example41_3                       | YES       | NO           | NO
Chap42/Example42_1                       | YES       | NO           | NO
Chap43/Example43_1                       | YES       | NO           | NO
Chap45/Example45_2                       | YES       | NO           | NO
Chap47/Example47_1                       | YES       | NO           | NO
Chap47/Example47_2                       | YES       | NO           | NO
Chap47/Example47_4                       | YES       | NO           | NO
Chap47/Example47_5                       | YES       | NO           | NO
Chap47/Example47_6                       | YES       | NO           | NO
Chap47/Exercise47_1                      | YES       | NO           | NO
Chap47/HashExamples                      | YES       | NO           | NO
Chap54/BFSMtEph                          | YES       | NO           | NO
Chap54/BFSMtPer                          | YES       | NO           | NO
Chap54/BFSStEph                          | YES       | NO           | NO
Chap54/BFSStPer                          | YES       | NO           | NO
Chap55/CycleDetectStEph                  | YES       | NO           | NO
Chap55/CycleDetectStPer                  | YES       | NO           | NO
Chap55/DFSStEph                          | YES       | NO           | NO
Chap55/DFSStPer                          | YES       | NO           | NO
Chap55/SCCStEph                          | YES       | NO           | NO
Chap55/SCCStPer                          | YES       | NO           | NO
Chap55/TopoSortStEph                     | YES       | NO           | NO
Chap55/TopoSortStPer                     | YES       | NO           | NO
Chap56/Example56_1                       | YES       | NO           | NO
Chap56/Example56_3                       | YES       | NO           | NO
Chap56/PathWeightUtilsStEph              | YES       | NO           | NO
Chap56/PathWeightUtilsStPer              | YES       | NO           | NO
Chap57/DijkstraStEphFloat                | YES       | NO           | NO
Chap57/DijkstraStEphInt                  | YES       | NO           | NO
Chap58/BellmanFordStEphFloat             | YES       | NO           | NO
Chap58/BellmanFordStEphInt               | YES       | NO           | NO
Chap59/JohnsonMtEphFloat                 | YES       | NO           | NO
Chap59/JohnsonMtEphInt                   | YES       | NO           | NO
Chap59/JohnsonStEphFloat                 | YES       | NO           | NO
Chap59/JohnsonStEphInt                   | YES       | NO           | NO
Chap61/EdgeContractionMtEph              | YES       | NO           | NO
Chap61/EdgeContractionStEph              | YES       | NO           | NO
Chap61/VertexMatchingMtEph               | YES       | NO           | NO
Chap61/VertexMatchingStEph               | YES       | NO           | NO
Chap62/StarContractionMtEph              | YES       | NO           | NO
Chap62/StarContractionStEph              | YES       | NO           | NO
Chap62/StarPartitionMtEph                | YES       | NO           | NO
Chap62/StarPartitionStEph                | YES       | NO           | NO
Chap63/ConnectivityMtEph                 | YES       | NO           | NO
Chap63/ConnectivityStEph                 | YES       | NO           | NO
Chap64/SpanTreeMtEph                     | YES       | NO           | NO
Chap64/SpanTreeStEph                     | YES       | NO           | NO
Chap64/TSPApproxMtEph                    | YES       | NO           | NO
Chap64/TSPApproxStEph                    | YES       | NO           | NO
Chap65/KruskalStEph                      | YES       | NO           | NO
Chap65/PrimStEph                         | YES       | YES          | NO
