
==============================================================================================================
RUST FUNCTION/METHOD NAMING CONVENTION ANALYSIS - FULL TABLE
==============================================================================================================

==============================================================================================================
File                                                        Pascal      camel      snake      Other Status    
==============================================================================================================
src/Chap03/InsertionSortSt.rs                                    0          2          0          0 ✓ camel   
src/Chap05/MappingStEph.rs                                       4          0         11          0 ⚠️ MIXED  
src/Chap05/RelationStEph.rs                                      4          0         10          0 ⚠️ MIXED  
src/Chap05/SetStEph.rs                                           4          0         16          0 ⚠️ MIXED  
src/Chap05/SetStEphClean.rs                                      2          0         16          0 ⚠️ MIXED  
src/Chap06/DirGraphMtEph.rs                                     22          4         11          2 ⚠️ MIXED  
src/Chap06/DirGraphStEph.rs                                     22          4          6          2 ⚠️ MIXED  
src/Chap06/LabDirGraphMtEph.rs                                   0          0         24          0 ✓ snake   
src/Chap06/LabDirGraphStEph.rs                                   0          0         22          0 ✓ snake   
src/Chap06/LabUnDirGraphMtEph.rs                                 4          1         24          0 ⚠️ MIXED  
src/Chap06/LabUnDirGraphStEph.rs                                 8          2         24          0 ⚠️ MIXED  
src/Chap06/UnDirGraphMtEph.rs                                   22          6         10          2 ⚠️ MIXED  
src/Chap06/UnDirGraphStEph.rs                                   22          6          8          2 ⚠️ MIXED  
src/Chap06/WeightedDirGraphMtEphFloat.rs                         0          0          9          0 ✓ snake   
src/Chap06/WeightedDirGraphMtEphInt.rs                           0          0          9          0 ✓ snake   
src/Chap06/WeightedDirGraphStEphFloat.rs                         0          0         12          0 ✓ snake   
src/Chap06/WeightedDirGraphStEphInt.rs                           0          0          9          0 ✓ snake   
src/Chap06/WeightedUnDirGraphMtEphFloat.rs                       0          0          8          0 ✓ snake   
src/Chap06/WeightedUnDirGraphMtEphInt.rs                         0          0          8          0 ✓ snake   
src/Chap06/WeightedUnDirGraphStEphFloat.rs                       0          0         10          0 ✓ snake   
src/Chap06/WeightedUnDirGraphStEphInt.rs                         0          0          8          0 ✓ snake   
src/Chap11/FibonacciMt.rs                                        0          0          2          0 ✓ snake   
src/Chap12/Exercise12_1.rs                                       0          0          9          0 ✓ snake   
src/Chap12/Exercise12_2.rs                                       0          0          4          0 ✓ snake   
src/Chap12/Exercise12_5.rs                                       0          0          9          0 ✓ snake   
src/Chap17/MathSeq.rs                                            0          4         28          0 ⚠️ MIXED  
src/Chap18/ArraySeq.rs                                           0          6         47          1 ⚠️ MIXED  
src/Chap18/ArraySeqMtEph.rs                                      0          4         51          0 ⚠️ MIXED  
src/Chap18/ArraySeqMtPer.rs                                      0          6         50          0 ⚠️ MIXED  
src/Chap18/ArraySeqStEph.rs                                      0          4         45          1 ⚠️ MIXED  
src/Chap18/ArraySeqStEphClean.rs                                 0          0         14          0 ✓ snake   
src/Chap18/ArraySeqStEphMinimal.rs                               0          0         12          0 ✓ snake   
src/Chap18/ArraySeqStEphSimple.rs                                0          0         14          0 ✓ snake   
src/Chap18/ArraySeqStPer.rs                                      0          4         40          0 ⚠️ MIXED  
src/Chap18/LinkedListStEph.rs                                    0          2         49          0 ⚠️ MIXED  
src/Chap18/LinkedListStPer.rs                                    0          2         45          0 ⚠️ MIXED  
src/Chap19/ArraySeqMtEph.rs                                      0          4         34          0 ⚠️ MIXED  
src/Chap19/ArraySeqMtEphSlice.rs                                 0          4         55          0 ⚠️ MIXED  
src/Chap19/ArraySeqMtPer.rs                                      0          8         40          0 ⚠️ MIXED  
src/Chap19/ArraySeqStEph.rs                                      0          4         36          0 ⚠️ MIXED  
src/Chap19/ArraySeqStPer.rs                                      0          4         38          0 ⚠️ MIXED  
src/Chap21/Algorithm21_1.rs                                      0          0          2          0 ✓ snake   
src/Chap21/Algorithm21_2.rs                                      0          0          2          0 ✓ snake   
src/Chap21/Algorithm21_5.rs                                      0          0          2          0 ✓ snake   
src/Chap21/Algorithm21_6.rs                                      0          0          2          0 ✓ snake   
src/Chap21/Exercise21_5.rs                                       0          0          2          0 ✓ snake   
src/Chap21/Exercise21_7.rs                                       0          0          6          0 ✓ snake   
src/Chap21/Exercise21_8.rs                                       0          0          4          0 ✓ snake   
src/Chap21/Problem21_1.rs                                        0          0          2          0 ✓ snake   
src/Chap21/Problem21_3.rs                                        0          0          2          0 ✓ snake   
src/Chap21/Problem21_4.rs                                        0          0          4          0 ✓ snake   
src/Chap23/BalBinTreeStEph.rs                                    0          0         21          0 ✓ snake   
src/Chap23/PrimTreeSeqSt.rs                                      0          0         24          0 ✓ snake   
src/Chap26/DivConReduceMt.rs                                     0          0         10          0 ✓ snake   
src/Chap26/DivConReduceSt.rs                                     0          0         10          0 ✓ snake   
src/Chap26/MergeSortMt.rs                                        0          0          4          0 ✓ snake   
src/Chap26/MergeSortSt.rs                                        0          0          4          0 ✓ snake   
src/Chap27/ReduceContractMtEph.rs                                0          0          2          0 ✓ snake   
src/Chap27/ReduceContractStEph.rs                                0          0          2          0 ✓ snake   
src/Chap27/ScanContractMtEph.rs                                  0          0          2          0 ✓ snake   
src/Chap27/ScanContractStEph.rs                                  0          0          2          0 ✓ snake   
src/Chap28/MaxContigSubSumBruteStEph.rs                          0          0          3          0 ✓ snake   
src/Chap28/MaxContigSubSumDivConMtEph.rs                         0          0          5          0 ✓ snake   
src/Chap28/MaxContigSubSumDivConOptMtEph.rs                      0          0          4          0 ✓ snake   
src/Chap28/MaxContigSubSumDivConOptStEph.rs                      0          0          4          0 ✓ snake   
src/Chap28/MaxContigSubSumDivConStEph.rs                         0          0          5          0 ✓ snake   
src/Chap28/MaxContigSubSumOptMtEph.rs                            0          0          2          0 ✓ snake   
src/Chap28/MaxContigSubSumOptStEph.rs                            0          0          2          0 ✓ snake   
src/Chap28/MaxContigSubSumReducedStEph.rs                        0          0          3          0 ✓ snake   
src/Chap35/OrderStatSelectMtEph.rs                               0          0          2          0 ✓ snake   
src/Chap35/OrderStatSelectMtPer.rs                               0          0          2          0 ✓ snake   
