UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
======================================================================

All Untested Functions (sorted by impact):

Rank   Regions  Insts  Module                                             Function                      
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
1      2        1      Chap39::BSTTreapMtEph                              ThreadRng>                    
2      2        1      Chap05::MappingStEph                               String>>>>                    
3      3        1      Chap42::TableStEph                                 delete_edge                   
4      3        1      Chap42::TableStEph                                 delete_vertex                 
5      3        1      Chap42::TableMtEph                                 from_sorted_entries           
6      3        1      Chap42::TableStEph                                 from_sorted_entries           
7      3        1      Chap42::TableStPer                                 from_sorted_entries           
8      3        1      Chap18::ArraySeqStEph                              from_vec                      
9      3        1      Chap18::ArraySeqStPer                              from_vec                      
10     3        1      Chap45::BinaryHeapPQ                               left_child                    
11     3        1      Chap45::BinaryHeapPQ                               right_child                   
12     3        1      Chap47::LinearProbing                              new                           
13     3        1      Chap47::AdvancedLinearProbing                      new                           
14     3        1      Chap50::Probability                                zero                          
15     3        1      Chap50::Probability                                value                         
16     3        1      Chap50::Probability                                infinity                      
17     3        1      Chap51::BottomUpDPMtEph                            new                           
18     3        1      Chap51::BottomUpDPMtPer                            new                           
19     3        1      Chap51::BottomUpDPStEph                            new                           
20     3        1      Chap51::BottomUpDPStPer                            new                           
21     3        1      Chap57::DijkstraStEphInt                           new                           
22     3        1      Chap57::DijkstraStEphFloat                         new                           
23     3        1      Chap37::AVLTreeSeqStEph                            new_root                      
24     3        1      Chap44::DocumentIndex                              new                           
25     3        1      Chap47::ClusteringAnalysis                         new_minimal                   
26     3        1      Chap47::ClusteringAnalysis                         new                           
27     3        1      Chap47::ProbeSequenceExamples                      new_minimal                   
28     3        1      Chap47::ProbeSequenceExamples                      new                           
29     3        1      Chap47::AdvancedQuadraticProbing                   new                           
30     3        1      Chap47::HashFunctionTraits                         grow_size                     
31     3        1      Chap12::Exercise12_2                               efficiency_note               
32     3        1      Chap21::Exercise21_7                               is_even                       
33     3        1      Chap21::Exercise21_8                               is_divisible                  
34     3        1      Chap06::LabDirGraphMtEph                           labeled_arcs                  
35     3        1      Chap06::LabDirGraphMtEph                           vertices                      
36     3        1      Chap06::LabDirGraphStEph                           labeled_arcs                  
37     3        1      Chap06::LabDirGraphStEph                           from_vertices_and_labeled_arcs
38     3        1      Chap06::LabDirGraphStEph                           vertices                      
39     3        1      Chap37::AVLTreeSeqStEph                            empty                         
40     3        1      Chap37::AVLTreeSeqStPer                            empty                         
41     3        1      Chap37::AVLTreeSeqStPer                            clone                         
42     3        1      Chap41::ArraySetStEph                              empty                         
43     3        1      Chap41::AVLTreeSetStEph                            empty                         
44     3        1      Chap41::AVLTreeSetStEph                            singleton                     
45     3        1      Chap41::AVLTreeSetStPer                            empty                         
46     3        1      Chap41::AVLTreeSetStPer                            singleton                     
47     3        1      Chap41::AVLTreeSetStPer                            clone                         
48     3        1      Chap42::TableMtEph                                 empty                         
49     3        1      Chap42::TableStEph                                 empty                         
50     3        1      Chap42::TableStPer                                 empty                         
51     3        1      Chap43::OrderedSetStPer                            empty                         
52     3        1      Chap43::OrderedSetStPer                            from_seq                      
53     3        1      Chap45::BinaryHeapPQ                               empty                         
54     3        1      Chap45::BinaryHeapPQ                               is_empty                      
55     3        1      Chap45::BinaryHeapPQ                               singleton                     
56     3        1      Chap45::SortedListPQ                               empty                         
57     3        1      Chap45::SortedListPQ                               is_empty                      
58     3        1      Chap45::LeftistHeapPQ                              empty                         
59     3        1      Chap45::BalancedTreePQ                             empty                         
60     3        1      Chap45::BalancedTreePQ                             is_empty                      
61     3        1      Chap45::UnsortedListPQ                             empty                         
62     3        1      Chap45::UnsortedListPQ                             is_empty                      
63     3        1      Chap41::ArraySetEnumMtEph                          size                          
64     3        1      Chap52::AdjMatrixGraphMtPer                        num_vertices                  
65     3        1      Chap52::AdjMatrixGraphStEph                        num_vertices                  
66     3        1      Chap52::AdjMatrixGraphStPer                        num_vertices                  
67     3        1      Chap50::MatrixChainMtPer                           eq                            
68     3        1      Chap50::Probability                                add                           
69     3        1      Chap50::MatrixChainMtPer                           dimensions                    
70     3        1      Chap50::MatrixChainMtPer                           num_matrices                  
71     3        1      Chap50::MatrixChainStEph                           dimensions                    
72     3        1      Chap50::MatrixChainStEph                           dimensions_mut                
73     3        1      Chap50::MatrixChainStEph                           from_dimensions               
74     3        1      Chap50::MatrixChainStEph                           new                           
75     3        1      Chap50::MatrixChainStPer                           dimensions                    
76     3        1      Chap50::MatrixChainStPer                           from_dimensions               
77     3        1      Chap50::MatrixChainStPer                           new                           
78     3        1      Chap50::Probability                                sub                           
79     3        1      Chap50::Probability                                mul                           
80     3        1      Chap50::Probability                                div                           
81     4        2      Chap19::ArraySeqMtPer                              atomicWrite                   
82     4        1      Chap37::AVLTreeSeqStPer                            build_balanced_from_slice     
83     4        1      Chap18::ArraySeqMtEph                              from_vec                      
84     4        1      Chap47::AdvancedDoubleHashing                      are_relatively_prime          
85     4        1      Chap51::TopDownDPMtEph                             is_empty                      
86     4        1      Chap51::TopDownDPMtEph                             s_length                      
87     4        1      Chap51::TopDownDPMtEph                             t_length                      
88     4        1      Chap51::TopDownDPMtPer                             is_empty                      
89     4        1      Chap51::TopDownDPMtPer                             s_length                      
90     4        1      Chap51::TopDownDPMtPer                             t_length                      
91     4        1      Chap51::TopDownDPStEph                             clear_memo                    
92     4        1      Chap51::TopDownDPStEph                             new                           
93     4        1      Chap51::TopDownDPStEph                             is_empty                      
94     4        1      Chap51::TopDownDPStEph                             s_length                      
95     4        1      Chap51::TopDownDPStEph                             t_length                      
96     4        1      Chap51::TopDownDPStEph                             memo_size                     
97     4        1      Chap51::TopDownDPStPer                             clear_memo                    
98     4        1      Chap51::TopDownDPStPer                             with_memo_table               
99     4        1      Chap51::TopDownDPStPer                             new                           
100    4        1      Chap51::TopDownDPStPer                             is_empty                      
101    4        1      Chap51::TopDownDPStPer                             s_length                      
102    4        1      Chap51::TopDownDPStPer                             t_length                      
103    4        1      Chap51::TopDownDPStPer                             memo_size                     
104    4        1      Chap51::BottomUpDPMtEph                            is_empty                      
105    4        1      Chap51::BottomUpDPMtEph                            s_length                      
106    4        1      Chap51::BottomUpDPMtEph                            t_length                      
107    4        1      Chap51::BottomUpDPMtPer                            is_empty                      
108    4        1      Chap51::BottomUpDPMtPer                            s_length                      
109    4        1      Chap51::BottomUpDPMtPer                            t_length                      
110    4        1      Chap51::BottomUpDPStEph                            set_s                         
111    4        1      Chap51::BottomUpDPStEph                            set_t                         
112    4        1      Chap51::BottomUpDPStEph                            is_empty                      
113    4        1      Chap51::BottomUpDPStEph                            s_length                      
114    4        1      Chap51::BottomUpDPStEph                            t_length                      
115    4        1      Chap51::BottomUpDPStPer                            is_empty                      
116    4        1      Chap51::BottomUpDPStPer                            s_length                      
117    4        1      Chap51::BottomUpDPStPer                            t_length                      
118    4        1      Chap56::SSSPResultStEphInt                         is_reachable                  
119    4        1      Chap56::SSSPResultStPerInt                         is_reachable                  
120    4        1      Chap56::SSSPResultStEphFloat                       is_reachable                  
121    4        1      Chap56::SSSPResultStPerFloat                       is_reachable                  
122    4        1      Chap44::Example44_1                                search_fun                    
