================================================================================
UNTESTED FUNCTIONS: 2907 functions, 82683 uncovered regions
================================================================================

Module                                        Funcs    Insts    Regions   
────────────────────────────────────────────────────────────────────────────────
Chap41::AVLTreeSetMtPer                       19       155      1394      
Chap42::TableMtEph                            17       46       1302      
Chap06::DirGraphMtEph                         24       100      1298      
Chap37::AVLTreeSeq                            35       86       1132      
Chap19::ArraySeqMtEphSlice                    32       88       1092      
Chap18::LinkedListStPer                       24       72       1086      
Chap39::BSTParaTreapMtEph                     33       90       1050      
Chap18::ArraySeqStPer                         29       101      1034      
Chap18::LinkedListStEph                       26       72       1024      
Chap18::ArraySeqStEph                         30       103      992       
Chap18::ArraySeqMtPer                         31       76       956       
Chap47::FlatHashTable                         10       24       941       
Chap37::AVLTreeSeqStEph                       35       66       934       
Chap18::ArraySeq                              28       92       867       
Chap06::LabDirGraphMtEph                      16       66       866       
Chap18::ArraySeqMtEph                         27       66       866       
Chap47::NestedHashTable                       15       30       846       
Chap37::BSTSetPlainMtEph                      23       102      846       
Chap38::BSTParaMtEph                          30       82       834       
Chap37::AVLTreeSeqStPer                       30       64       819       
Chap37::AVLTreeSeqMtPer                       28       68       803       
Chap05::SetStEph                              14       75       800       
Chap26::MergeSortMt                           2        27       791       
Chap43::OrderedTableMtEph                     31       70       788       
Chap43::AugOrderedTableMtEph                  35       76       786       
Chap43::OrderedTableStEph                     31       72       782       
Chap47::SeparateChaining                      9        16       766       
Chap66::BoruvkaMtEph                          7        32       742       
Chap43::AugOrderedTableStPer                  31       64       740       
Chap06::LabUnDirGraphMtEph                    21       62       730       
Chap45::BalancedTreePQ                        29       54       720       
Chap43::AugOrderedTableStEph                  34       70       698       
Chap19::ArraySeqMtEph                         20       50       678       
Chap41::AVLTreeSetMtEph                       17       46       676       
Chap19::ArraySeqMtPer                         25       66       674       
Chap37::BSTRBMtEph                            26       56       674       
Chap40::BSTReducedStEph                       32       80       674       
Chap06::UnDirGraphMtEph                       23       66       649       
Chap45::BinaryHeapPQ                          29       47       648       
Chap37::BSTSetRBMtEph                         23       96       648       
Chap37::BSTSetAVLMtEph                        23       96       648       
Chap37::BSTSetSplayMtEph                      23       96       648       
Chap37::BSTSetBBAlphaMtEph                    23       96       648       
Chap39::BSTSetTreapMtEph                      23       96       648       
Chap45::LeftistHeapPQ                         29       59       626       
Chap43::OrderedTableStPer                     28       69       623       
Chap40::BSTSizeStEph                          28       62       616       
Chap43::OrderedSetStEph                       24       61       615       
Chap37::BSTBBAlphaStEph                       25       72       594       
Chap47::ClusteringAnalysis                    13       20       575       
Chap45::SortedListPQ                          21       38       551       
Chap37::BSTAVLMtEph                           24       51       542       
Chap36::QuickSortSt                           8        20       542       
Chap37::BSTRBStEph                            26       54       540       
Chap37::BSTBBAlphaMtEph                       25       52       528       
Chap42::TableStEph                            21       45       527       
Chap39::BSTTreapMtEph                         24       54       520       
Chap50::OptBinSearchTreeMtEph                 15       50       514       
Chap36::QuickSortMt                           7        30       510       
Chap19::ArraySeqStEph                         21       52       508       
Chap36::QuickSortMtSlice                      7        36       492       
Chap37::BSTAVLStEph                           25       52       488       
Chap06::WeightedDirGraphMtEphInt              9        33       464       
Chap43::Example43_1                           2        3        461       
Chap63::ConnectivityMtEph                     7        24       458       
Chap47::ProbeSequenceExamples                 12       17       450       
Chap37::BSTPlainMtEph                         18       40       444       
Chap38::BSTParaStEph                          19       40       444       
Chap39::BSTTreapStEph                         23       52       444       
Chap40::BSTKeyValueStEph                      22       50       438       
Chap42::TableStPer                            18       43       437       
